doi,title,venue,publication_year,content_type,abstract,keywords,science gateway | scientific gateway,virtual laboratory | Vlab,virtual research environment,more than one
10.1109/GCE.2014.17,FACE-IT: A Science Gateway for Food Security Research,Gateway Computing Environments Workshop,2014,Conference Paper,"Understanding the potential impacts of climate change and the likely effectiveness of adaptation strategies is of crucial importance to the sustainability of both agriculture and natural ecosystems. Improvements in data availability and simulation model fidelity promises to enable significant improvements in knowledge. However, progress is hindered by the challenges inherent in creating and managing increasingly complex data acquisition, processing, simulation, post-processing, and intercomparison pipelines. To address these challenges, we are developing the Framework to Advance Climate, Economic, and Impact Investigations with Information Technology (FACE-IT) for crop and climate impact assessments. This integrated geospatial data processing, delivery, and simulation framework enables data ingest from diverse geospatial data archives; data regridding, aggregation, and other relevant processing required prior to simulation; large-scale climate impact simulation using a range of applications, including different agricultural models, and leveraging high-performance and cloud computing; and post-processing to produce aggregated yields and other output variables needed to enable model intercomparison and to connect biophysical model outputs to global and regional economic models and assessments. It leverages the capabilities of the Globus Galaxies platform to enable the capture of both workflows and simulation outputs in well-defined, reusable, and easily comparable forms. We describe FACE-IT and its application to studies within the Agricultural Model Intercomparison and Improvement Project.","Biological system modeling, computational modeling, Logic gates, Biomass, Supply chains, optimization, Data visualization",1,0,0,1
10.1145/2016741.2016787,A European Framework to Build Science Gateways: Architecture and Use Cases,TeraGrid Conference,2011,Conference Paper,"Science Gateways are playing an important role in scientific research performed using e-Infrastructures and their relevance will further increase with the development of more sophisticated user interfaces and easier access mechanism. Through the highly collaborative environment of a Science Gateway, users spread around the world and belonging to various Virtual Research Communities can easily cooperate to reach common goals and exploit all the resources of the cyber-infrastructure they are entitled to use.One of the major tasks of a Science Gateway is to supervise the user access to the available services, denying the use to those people who are not authorised. This activity has to comply with the role of users inside the VRC.Users operating in a Science Gateway can belong to different organisations having their own security policies and the Virtual Research Community has to comply with them. As a result, the security chain inside the Science Gateway has to allow each organisation to keep the control of their users hiding, at the same time, the complexity of the security mechanisms underneath the portal.In this work we present a general framework to build Science Gateways [1][2] and the customisations made to meet the requirements of a couple of use cases coming from different scientific communities: those of the European Union funded DECIDE (www.eu-decide.eu) and INDICATE (www.indicate-project.eu) projects.The goal of DECIDE project is to design, implement, and validate a Science Gateway for the computer-aided extraction of diagnostic markers from medical images for the early diagnosis of Alzheimer Disease and other forms of dementia. Using the same platform neurologists, physicians and scientists can store their images and data on grid and perform analysis and comparisons with a huge set of reference cases available on grid. The INDICATE project aims instead at demonstrating, with real-life examples, the advantages of the adoption of e-Infrastructures in the digital cultural heritage domain. The plugin developed enables INDICATE Science Gateway, and its digital cultural heritage community, to access two different e-Infrastructure repositories in an easy way with a friendly user interface but keeping the digital resources safe and the transactions private.The framework defined to support the above use cases is an extension of Liferay portal framework, which provides a whole set of web 2.0 tools and services for the development of generic portals. These have been integrated with a more flexible security workflow and a new set of portlets to access the Grid services. The final architecture of a Science Gateway consists of two part: a front-end building the graphical user interface, and a back-end providing the access to the grid services implemented.A major extension to Liferay is the security system. The new developed security system merges three different security mechanisms in a single workflow allowing users to access Grid resources based on the credentials provided by the organisations they belong to. The idea behind was to combine Shibboleth2 identities in the front-end with X.509 proxies generated by robot certificates in the back-end. The former enables the federation of organisations having different authentication policies while the latter allows users to access Grid resources, without needing any personal certificates whose request and management procedure is very often judged quite cumbersome by non-experts. The ""glue"" between the two layers is an LDAP server running in the back-end that implements a mechanism to map authorised users on Grid resources. Services managing user and grid credentials are not integrated in Liferay Portal but run in different hosts, in order to increase the reliability and security of the Science Gateway.Once the user is authenticated, the portlets developed provide the functionalities to manage the Grid credentials in order to access the e-Infrastructure behind. The portlet-based interface to Grid is built on the OGF-standard SAGA Java API and it is not bound to any particular middleware.Besides the interaction with the computational services of an e-Infrastructure, the proposed framework includes the possibility to easily build and manage data repositories interacting with the gLibrary framework [3] and to encrypt/decrypt sensible data with the Secure Storage System [4].","grid portal, e-collaboration, Liferay, grid computing, e-science, science gateways",1,0,0,1
10.1145/2110486.2110496,CyberSKA: An on-Line Collaborative Portal for Data-Intensive Radio Astronomy,ACM workshop on Gateway computing environments,2011,Conference Paper,"Managing the growing volume of data being output by radio telescopes is a significant challenge faced by radio astronomers today. This challenge will only be further compounded with future telescopes such as the Square Kilometre Array (SKA), which will be the world's largest radio telescope when completed and produce data at unprecedented rates. This paper introduces the CyberSKA collaborative portal which is aimed at addressing the current and future needs of data-intensive radio astronomy. A wide variety of tools and services that have been developed and integrated with the CyberSKA portal, including a distributed data management system, a data access tool, remote visualization tools and a third party application interface are described. Current international usage of CyberSKA focusing on several different SKA Pathfinder survey projects and how they make use of the portal are also highlighted.","data processing, visualization, social networking, data management, third party applications, scientific gateways",1,0,0,1
10.1145/2467696.2467779,The Open Parks Network,ACM/IEEE-CS joint conference on Digital libraries,2013,Conference Paper,"The goal of the Open Parks Network (OPN) is to create a portal that connects park managers, researchers, policy makers, and citizens to each other and to valuable cultural resources related. Led by Clemson University in collaboration with the National Parks Service and Purdue University, OPN is designed to provide a virtual community of professionals in parks and protected areas with the tools, resources, and knowledge base they need to conduct intensive research, perform their jobs duties effectively, and share information with colleagues and users on an international scale. To date, 80,000 of 200,000 archival images and 500,000 out of 2 million bound pages have been digitized from various parks, and a beta version of the platform will be available for demonstration in March 2013. The project includes the integration of a Fedora repository with the Joomla! content management system with extensions to enable GIS functionality, expose metadata as Linked Data and for harvest using OAI-PMH, and enable users to create their own custom collections.","mass digitization, open parks network, virtual research environments",0,0,1,1
10.1145/2949550.2949556,BIC-LSU: Big Data Research Integration with Cyberinfrastructure for LSU,Conference on Extreme Science and Engineering Discovery Environment,2016,Conference Paper,"In recent years, big data analysis has been widely applied to many research fields including biology, physics, transportation, and material science. Even though the demands for big data migration and big data analysis are dramatically increasing in campus IT infrastructures, there are several technical challenges that need to be addressed. First of all, frequent big data transmission between storage systems in different research groups imposes heavy burdens on a regular campus network. Second, the current campus IT infrastructure is not designed to fully utilize the hardware capacity for big data migration and analysis. Last but not the least, running big data applications on top of large-scale high-performance computing facilities is not straightforward, especially for researchers and engineers in non-IT disciplines.","big data, software-deﬁned networking, task-aware network scheduling, science gateways, solid-state drive storage server",1,0,0,1
10.1145/3093338.3093356,GenApp Integrated with OpenStack Supports Elastic Computing on Jetstream,Practice and Experience in Advanced Research Computing,2017,Conference Paper,"GenApp is a universal and extensible tool for rapid deployment of applications. GenApp builds fully functioning science gateways and standalone GUI applications from collections of definition files and libraries of code fragments. Among the main features are the minimal technical expertise requirement for the end user and an open-end design ensuring sustainability of generated applications. Because of the conceptual simplicity of use, GenApp is ideally suited to scientists who are not professional developers, to disseminate their theoretical and experimental expertise as embodied in their code to their communities by rapidly deploying advanced applications. GenApp has an open extensible resource execution model. To support efficient elastic cloud computing on NSF Jetstream, GenApp has recently integrated OpenStack as a target resource with optional job-specific XSEDE project accounting.","OpenStack, Science gatweway, middleware, CASE tools, Elastic computing",1,0,0,1
10.1145/3503510,A Workflow Architecture for Cloud-Based Distributed Simulation,ACM Transactions on Modeling and Computer Simulation,2022,Article,"We develop a campus IT cyberinfrastructure for big data migration and analysis, called BIC-LSU, which consists of a task-aware Clos OpenFlow network, high-performance cache storage servers, customized high-performance transfer applications, a light-weight control framework to manipulate existing big data storage systems and job scheduling systems, and a comprehensive social networking-enabled web portal. BIC-LSU achieves 40Gb/s disk-to-disk big data transmission, maintains short average transmission task completion time, enables the convergence of control on commonly deployed storage and job scheduling systems, and enhances easiness of big data analysis with a universal user-friendly interface. BIC-LSU software requires minimum dependencies and has high extensibility. Other research institutes can easily customize and deploy BIC-LSU as an augmented service on their existing IT infrastructures.","Modeling & simulation, scientific workflows, distributed simulation, HLA, cloud computing, science gateways",1,0,0,1
10.4018/IJCMHS.2018010105,ArchaeoGRID Science Gateways for Easy Access to Distributed Computing Infrastructure for Large Data Storage and Analysis in Archaeology and History,International Journal of Computational Methods in Heritage Science,2018,Article,"This article describes how archaeological and historical research grew as a multidisciplinary and interdisciplinary activity due to availability of larger amount of data within the reconstruction of global historical and archaeological contexts at a global spatio-temporal scale. The increased information, also integrated with data from the Earth Sciences, has had an effect on the exponential increase of complex sets of data and of refined methods of analysis. For such purposes, this article discusses the ArchaeoGRID Science Gateway paradigm for accessing ArchaeoGRID Cyberinfrastructure (CI), a Distributed Computing Infrastructure (DCI), that can supply storage and computing resources for managing and analyzing large amount of archaeological and historical data. In fact, ArchaeoGRID Science Gateway is emerging as high-level web environment that makes easier the access, in a transparent way, to DCI, as local high-performance computing, Grids and Clouds, from no specialized Virtual Research Communities (VRC) of archaeologists and historians.","ArchaeoGRID Cyberinfrastructure (CI), ArchaeoGRID Science Gateway, Archaeological and Historical Heritage, Distributed Computing Infrastructure (DCI), Virtual Research Community (VRC), Spatial Data Infrastructure (SDI)",1,0,0,1
10.1049/cp.2010.0594,Auto-connection mechanisms for educational virtual laboratory,IET Conference Publications,2010,Conference Paper,"Construction kits are useful educational tools that provide children with many learning opportunities. However, to support learners in effective leaning through construction processes, it is necessary to provide appropriate support to the learners according to their skills or knowledge. We have developed a Web-based interactive virtual laboratory with a construction kit, where users can assemble primitive components into a biker model powered by a solar cell. In this paper, we have proposed auto-connection mechanisms for supporting different types of users and different learning scenarios in the laboratory. Since this auto-connection setting can be changed during runtime by users according to the learners' skills, teachers can provide different settings for each learner without resorting to complicated programming.","computer-aided instruction, education, virtual instrumentation auto connection mechanisms, educational virtual laboratory, educational tools, Web-based interactive virtual laboratory, solar cell",0,1,0,1
10.1109/ACC.2015.7172220,A virtual and remote lab of the two electric coupled drives system in the University Network of Interactive Laboratories,American Control Conference,2015,Conference Paper,This paper describes all the details on the latest addition to the University Network of Interactive Laboratories: a virtual and a remote laboratory of a two electric coupled drives system. This two new activities allow performing control practices in a 2×2 MIMO system. The virtual and the remote labs are accessible for anyone in a new open course that contains several other experiments in the automatic control field.,"Belts, servers, Mathematical model, Pulleys, Boards, remote laboratories",0,1,0,1
