doi,title,venue,publication_year,content_type,abstract,keywords,science gateway | scientific gateway,virtual laboratory | Vlab,virtual research environment,more than one
10.1109/GCE.2014.17,FACE-IT: A Science Gateway for Food Security Research,Gateway Computing Environments Workshop,2014,Conference Paper,"Understanding the potential impacts of climate change and the likely effectiveness of adaptation strategies is of crucial importance to the sustainability of both agriculture and natural ecosystems. Improvements in data availability and simulation model fidelity promises to enable significant improvements in knowledge. However, progress is hindered by the challenges inherent in creating and managing increasingly complex data acquisition, processing, simulation, post-processing, and intercomparison pipelines. To address these challenges, we are developing the Framework to Advance Climate, Economic, and Impact Investigations with Information Technology (FACE-IT) for crop and climate impact assessments. This integrated geospatial data processing, delivery, and simulation framework enables data ingest from diverse geospatial data archives; data regridding, aggregation, and other relevant processing required prior to simulation; large-scale climate impact simulation using a range of applications, including different agricultural models, and leveraging high-performance and cloud computing; and post-processing to produce aggregated yields and other output variables needed to enable model intercomparison and to connect biophysical model outputs to global and regional economic models and assessments. It leverages the capabilities of the Globus Galaxies platform to enable the capture of both workflows and simulation outputs in well-defined, reusable, and easily comparable forms. We describe FACE-IT and its application to studies within the Agricultural Model Intercomparison and Improvement Project.","Biological system modeling, computational modeling, Logic gates, Biomass, Supply chains, optimization, Data visualization",1,0,0,1
10.1145/2016741.2016787,A European Framework to Build Science Gateways: Architecture and Use Cases,TeraGrid Conference,2011,Conference Paper,"Science Gateways are playing an important role in scientific research performed using e-Infrastructures and their relevance will further increase with the development of more sophisticated user interfaces and easier access mechanism. Through the highly collaborative environment of a Science Gateway, users spread around the world and belonging to various Virtual Research Communities can easily cooperate to reach common goals and exploit all the resources of the cyber-infrastructure they are entitled to use.One of the major tasks of a Science Gateway is to supervise the user access to the available services, denying the use to those people who are not authorised. This activity has to comply with the role of users inside the VRC.Users operating in a Science Gateway can belong to different organisations having their own security policies and the Virtual Research Community has to comply with them. As a result, the security chain inside the Science Gateway has to allow each organisation to keep the control of their users hiding, at the same time, the complexity of the security mechanisms underneath the portal.In this work we present a general framework to build Science Gateways [1][2] and the customisations made to meet the requirements of a couple of use cases coming from different scientific communities: those of the European Union funded DECIDE (www.eu-decide.eu) and INDICATE (www.indicate-project.eu) projects.The goal of DECIDE project is to design, implement, and validate a Science Gateway for the computer-aided extraction of diagnostic markers from medical images for the early diagnosis of Alzheimer Disease and other forms of dementia. Using the same platform neurologists, physicians and scientists can store their images and data on grid and perform analysis and comparisons with a huge set of reference cases available on grid. The INDICATE project aims instead at demonstrating, with real-life examples, the advantages of the adoption of e-Infrastructures in the digital cultural heritage domain. The plugin developed enables INDICATE Science Gateway, and its digital cultural heritage community, to access two different e-Infrastructure repositories in an easy way with a friendly user interface but keeping the digital resources safe and the transactions private.The framework defined to support the above use cases is an extension of Liferay portal framework, which provides a whole set of web 2.0 tools and services for the development of generic portals. These have been integrated with a more flexible security workflow and a new set of portlets to access the Grid services. The final architecture of a Science Gateway consists of two part: a front-end building the graphical user interface, and a back-end providing the access to the grid services implemented.A major extension to Liferay is the security system. The new developed security system merges three different security mechanisms in a single workflow allowing users to access Grid resources based on the credentials provided by the organisations they belong to. The idea behind was to combine Shibboleth2 identities in the front-end with X.509 proxies generated by robot certificates in the back-end. The former enables the federation of organisations having different authentication policies while the latter allows users to access Grid resources, without needing any personal certificates whose request and management procedure is very often judged quite cumbersome by non-experts. The ""glue"" between the two layers is an LDAP server running in the back-end that implements a mechanism to map authorised users on Grid resources. Services managing user and grid credentials are not integrated in Liferay Portal but run in different hosts, in order to increase the reliability and security of the Science Gateway.Once the user is authenticated, the portlets developed provide the functionalities to manage the Grid credentials in order to access the e-Infrastructure behind. The portlet-based interface to Grid is built on the OGF-standard SAGA Java API and it is not bound to any particular middleware.Besides the interaction with the computational services of an e-Infrastructure, the proposed framework includes the possibility to easily build and manage data repositories interacting with the gLibrary framework [3] and to encrypt/decrypt sensible data with the Secure Storage System [4].","grid portal, e-collaboration, Liferay, grid computing, e-science, science gateways",1,0,0,1
10.1145/2110486.2110496,CyberSKA: An on-Line Collaborative Portal for Data-Intensive Radio Astronomy,ACM workshop on Gateway computing environments,2011,Conference Paper,"Managing the growing volume of data being output by radio telescopes is a significant challenge faced by radio astronomers today. This challenge will only be further compounded with future telescopes such as the Square Kilometre Array (SKA), which will be the world's largest radio telescope when completed and produce data at unprecedented rates. This paper introduces the CyberSKA collaborative portal which is aimed at addressing the current and future needs of data-intensive radio astronomy. A wide variety of tools and services that have been developed and integrated with the CyberSKA portal, including a distributed data management system, a data access tool, remote visualization tools and a third party application interface are described. Current international usage of CyberSKA focusing on several different SKA Pathfinder survey projects and how they make use of the portal are also highlighted.","data processing, visualization, social networking, data management, third party applications, scientific gateways",1,0,0,1
10.1145/2949550.2949556,BIC-LSU: Big Data Research Integration with Cyberinfrastructure for LSU,Conference on Extreme Science and Engineering Discovery Environment,2016,Conference Paper,"In recent years, big data analysis has been widely applied to many research fields including biology, physics, transportation, and material science. Even though the demands for big data migration and big data analysis are dramatically increasing in campus IT infrastructures, there are several technical challenges that need to be addressed. First of all, frequent big data transmission between storage systems in different research groups imposes heavy burdens on a regular campus network. Second, the current campus IT infrastructure is not designed to fully utilize the hardware capacity for big data migration and analysis. Last but not the least, running big data applications on top of large-scale high-performance computing facilities is not straightforward, especially for researchers and engineers in non-IT disciplines.","big data, software-deﬁned networking, task-aware network scheduling, science gateways, solid-state drive storage server",1,0,0,1
10.1145/3093338.3093356,GenApp Integrated with OpenStack Supports Elastic Computing on Jetstream,Practice and Experience in Advanced Research Computing,2017,Conference Paper,"GenApp is a universal and extensible tool for rapid deployment of applications. GenApp builds fully functioning science gateways and standalone GUI applications from collections of definition files and libraries of code fragments. Among the main features are the minimal technical expertise requirement for the end user and an open-end design ensuring sustainability of generated applications. Because of the conceptual simplicity of use, GenApp is ideally suited to scientists who are not professional developers, to disseminate their theoretical and experimental expertise as embodied in their code to their communities by rapidly deploying advanced applications. GenApp has an open extensible resource execution model. To support efficient elastic cloud computing on NSF Jetstream, GenApp has recently integrated OpenStack as a target resource with optional job-specific XSEDE project accounting.","OpenStack, Science gatweway, middleware, CASE tools, Elastic computing",1,0,0,1
10.1145/3503510,A Workflow Architecture for Cloud-Based Distributed Simulation,ACM Transactions on Modeling and Computer Simulation,2022,Article,"We develop a campus IT cyberinfrastructure for big data migration and analysis, called BIC-LSU, which consists of a task-aware Clos OpenFlow network, high-performance cache storage servers, customized high-performance transfer applications, a light-weight control framework to manipulate existing big data storage systems and job scheduling systems, and a comprehensive social networking-enabled web portal. BIC-LSU achieves 40Gb/s disk-to-disk big data transmission, maintains short average transmission task completion time, enables the convergence of control on commonly deployed storage and job scheduling systems, and enhances easiness of big data analysis with a universal user-friendly interface. BIC-LSU software requires minimum dependencies and has high extensibility. Other research institutes can easily customize and deploy BIC-LSU as an augmented service on their existing IT infrastructures.","Modeling & simulation, scientific workflows, distributed simulation, HLA, cloud computing, science gateways",1,0,0,1
10.4018/IJCMHS.2018010105,ArchaeoGRID Science Gateways for Easy Access to Distributed Computing Infrastructure for Large Data Storage and Analysis in Archaeology and History,International Journal of Computational Methods in Heritage Science,2018,Article,"This article describes how archaeological and historical research grew as a multidisciplinary and interdisciplinary activity due to availability of larger amount of data within the reconstruction of global historical and archaeological contexts at a global spatio-temporal scale. The increased information, also integrated with data from the Earth Sciences, has had an effect on the exponential increase of complex sets of data and of refined methods of analysis. For such purposes, this article discusses the ArchaeoGRID Science Gateway paradigm for accessing ArchaeoGRID Cyberinfrastructure (CI), a Distributed Computing Infrastructure (DCI), that can supply storage and computing resources for managing and analyzing large amount of archaeological and historical data. In fact, ArchaeoGRID Science Gateway is emerging as high-level web environment that makes easier the access, in a transparent way, to DCI, as local high-performance computing, Grids and Clouds, from no specialized Virtual Research Communities (VRC) of archaeologists and historians.","ArchaeoGRID Cyberinfrastructure (CI), ArchaeoGRID Science Gateway, Archaeological and Historical Heritage, Distributed Computing Infrastructure (DCI), Virtual Research Community (VRC), Spatial Data Infrastructure (SDI)",1,0,0,1
10.1109/CCGrid.2011.33,Social Networks of Researchers and Educators on nanoHUB.org,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2011,Conference Paper,"The science gateway nanoHUB.org is the world's largest nanotechnology user facility, serving 167, 196 users in 2010 with over 2,300 resources including 189 simulation programs. Surveys of nanoHUB users and automated usage analysis find widespread simulation use in formal classroom education, thereby connecting recent research more rapidly and closely to education. Analysis of 719 citations in the scientific literature by over 1,300 authors to nanoHUB.org resources documents use of simulation programs by new research collaborations, by researchers outside of the community originating the program, and by experimentalists. The publication and author networks reveal research collaborations and capacity building through knowledge transfer. Analysis of secondary citations documents the quality of the conducted research with an h-index of 30 after just 10 years of operation. Our analysis proves with quantitative metrics that impactful research can be conducted by an ever growing research community. We argue that HUBzeroTM technology and the user-focused design and operation of nanoHUB.org are keys to success that can be transferred to other science gateways. © 2011 IEEE.","citation network, cloud computing, grid computing, NanoHUB, nanotechnology, science gateways, simulations",1,0,0,1
10.1109/CCGrid.2011.43,Open Social Based Collaborative Science Gateways,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2011,Conference Paper,"In data-driven science projects, researchers distributed in different institutions often wish to easily team up for data and computing resource sharing to address challenging scientific problems. Typical VO based authorization schemes is not suitable for such a user organized scientific collaboration. Using the emerging OAuthprotocol, we introduce a novel group authorization scheme to support ad-hoc team formation and user controlled resource sharing. Integrating this group authorization scheme, we define an Open Social based scientific collaboration framework and develop a science gateway prototype named as Open Life Science Gateway (OLSGW) to verify and refine the framework. Our experience with development of the OLSGW shows that OAuth 2.0 based group authorization scheme is avery promising approach to resource sharing in Cloud environments, and the Open Social based framework can facilitate science gateway developers to create domain-specific collaborative applications in a very flexible way. © 2011 IEEE.","authorization, collaboration, OpenSocial, science gateways",1,0,0,1
10.1109/CCGrid.2014.95,A Credential Store for Multi-tenant Science Gateways,"International Symposium on Cluster, Cloud and Grid Computing",2014,Conference Paper,"Science Gateways bridge multiple computational grids and clouds, acting as overlay cyber infrastructure. Gateways have three logical tiers: a user interfacing tier, a resource tier and a bridging middleware tier. Different groups may operate these tiers. This introduces three security challenges. First, the gateway middleware must manage multiple types of credentials associated with different resource providers. Second, the separation of the user interface and middleware layers means that security credentials must be securely delegated from the user interface to the middleware. Third, the same middleware may serve multiple gateways, so the middleware must correctly isolate user credentials associated with different gateways. We examine each of these three scenarios, concentrating on the requirements and implementation of the middleware layer. We propose and investigate the use of a Credential Store to solve the three security challenges. © 2014 IEEE.","apache airavata, Credential Store, OA4MP, science gateways, security",1,0,0,1
