doi,title,venue,publication_year,content_type,abstract,keywords,science gateway | scientific gateway,virtual laboratory | Vlab,virtual research environment,more than one
10.1145/2467696.2467779,The Open Parks Network,ACM/IEEE-CS joint conference on Digital libraries,2013,Conference Paper,"The goal of the Open Parks Network (OPN) is to create a portal that connects park managers, researchers, policy makers, and citizens to each other and to valuable cultural resources related. Led by Clemson University in collaboration with the National Parks Service and Purdue University, OPN is designed to provide a virtual community of professionals in parks and protected areas with the tools, resources, and knowledge base they need to conduct intensive research, perform their jobs duties effectively, and share information with colleagues and users on an international scale. To date, 80,000 of 200,000 archival images and 500,000 out of 2 million bound pages have been digitized from various parks, and a beta version of the platform will be available for demonstration in March 2013. The project includes the integration of a Fedora repository with the Joomla! content management system with extensions to enable GIS functionality, expose metadata as Linked Data and for harvest using OAI-PMH, and enable users to create their own custom collections.","mass digitization, open parks network, virtual research environments",0,0,1,1
10.1109/CBMS.2016.32,Towards a Biomedical Virtual Research Environment,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2016,Conference Paper,"Providing an appropriate level of accessibility to and tracking of data and process elements in large volumes of medical data is essential. Researchers require systems that provide traceability of information through provenance data capture and management to support clinical analyses. A Virtual Research Environment (VRE) in which data sets and workflows are described, captured, managed and instantiated across biomedical applications would provide an ideal platform for supporting collaborative analyses acting as a knowledge repository for research. We propose a solution that aims to provide detailed data and process traceability to support research analysis that is generically applicable across medical systems. © 2016 IEEE.","Biomedical Analysis, provenance, virtual research environments, workflows",0,0,1,1
10.1109/COMPSACW.2011.53,Towards a Generic Cloud-Based Virtual Research Environment,IEEE Annual Computer Software and Applications Conference Workshops,2011,Conference Paper,"Virtual collaboration is an important aspect for the success of scientific projects, especially if participating researchers are distributed over the whole globe. In the recent past some systems - so called virtual research environments - were presented to support collaborative work restricted to certain research domains. Within this article a concept of a generic framework for building personal, cloud-based virtual research environments easily is proposed. Such an environment could be defined by composing arbitrary services, appropriate to the requirements of a particular scientist. Due to low funds in some scientific areas, we also provide a flexible billing strategy using the cloud specific pay-per-use model. Thus, each service has just to be paid as long as it is utilized. © 2011 IEEE.","cloud computing, Layered Architecture, Pay-per-use, Virtual Collaboration, virtual research environments, virtualization",0,0,1,1
10.1109/CSCWD.2015.7231002,A crowdsourcing approach to the design of Virtual Research Environments,IEEE International Conference on Computer Supported Cooperative Work in Design,2015,Conference Paper,"A Species List of Flora is a working list of scientific descriptions of all known plants occurring within a given region. It represents an inventory in process, i.e., updates and new plant species are added every working day. The Flora checklist has an important value for the scientific community, government, industry and society, since it gathers accurate data on flora diversity. Knowing the Brazilian flora has been a commitment assumed by Brazil towards the international community. In 2009, the Rio de Janeiro Botanical Garden, in a joint action with several research institutions, started the development of a Virtual Research Environment based on crowdsourcing. The aim of the project was to support the collaborative and distributed work of an undefined number of pre-qualified trained taxonomists, grouped in their specialties. This article describes the technological aspects related to the ongoing work on the List of Species of the Brazilian Flora, which is a recent example of success in building a knowledge database collaboratively. It describes the mechanisms used for determining individual characteristics of potential participants (target audience), the means of collaboration and communication, as well as the technological platform developed to support a web-based crowdsourcing design for Virtual Research Environment. Some information on both the performance of the team of about 600 researchers and the quality of information produced are presented, also including some of the lessons learned and recommendations for future action. © 2015 IEEE.","collaboration, crowdsourcing, CSCW, plant checklists, virtual research environments",0,0,1,1
10.1109/eScience.2011.9,A Virtual Research Environment for Cancer Imaging Research,International Conference on e-Science,2011,Conference Paper,"The ""Virtual Research Environment for Cancer Imaging"" project aims to support image processing researchers and clinicians by providing a framework for sharing images and algorithms. In this paper we present the system developed to date which has focused on sharing and managing DICOM images using Microsoft's Share Point 2010. The system allows configuring the metadata to be extracted from the DICOM tags to meet requirements from both set of users: imaging researchers and clinicians. We present the work conducted to allow sharing algorithms as scientific workflows through the use of the Trident Workflow Workbench and the initial library of activities and workflows created for one of the most popular image processing toolkits among imaging researchers, the Insight Toolkit. © 2011 IEEE.","Cancer Imaging, Insight Toolkit, SharePoint 2010, Trident Workflow Workbench, virtual research environments",0,0,1,1
10.1109/eScience.2018.00124,Serving Scientists in Agri-Food Area by Virtual Research Environments,International Conference on e-Science,2018,Conference Paper,"Agri-food research calls for changes in the practices dealing with data collection, collation, processing and analytics, and publishing thus to fully benefit from and contribute to the Open Science movement. One of the major issues faced by the agri-food researchers is the fragmentation of the 'assets' that can be exploited when performing research tasks, e.g. data of interest are heterogeneous and scattered across several repositories, the tools exploited by modellers are diverse and often rely on local computing environments, the publishing practices are various and rarely aim at making available the 'whole story' with datasets, processes, workflows. This paper presents the AGINFRA+ endeavour to overcome these limitations by providing researchers in three designated communities with Virtual Research Environments facilitating the access to and use of the 'assets' of interest and promote collaboration. © 2018 IEEE.","agroclimatic modeling, e-infrastructures, Food Safety, food security, virtual research environments",0,0,1,1
10.1109/ICDMW.2017.99,A Virtual Research Environment to Support Remote Behaviour Monitoring from Data Collection to Analysis,IEEE International Conference on Data Mining Workshops,2017,Conference Paper,"Virtual research environments (VRE) allow to collaboratively work on research projects. Typically, they provide a web-based interface to share documents and data for analysis. However, currently there is no support for earlier stages of research projects in the context of behaviour monitoring such as data collection. With the rise of solutions based on information and communication technologies (ICT), the number of clinical studies using such technologies increases. Thus, the need to support collaboration during earlier project phases increases as data collection has to be monitored remotely. We developed a VRE to provide support during all phases of ICT based studies. During a study on agitated behaviour of people with dementia based on ICT solutions, we employed this VRE. In this paper, we describe the VRE and its features with respect to the research project. © 2017 IEEE.","Alzheimer, data analysis, Dementia, virtual research environments, Wearables",0,0,1,1
10.1002/cpe.3238,Supporting biodiversity studies with the EUBrazilOpenBio Hybrid Data Infrastructure,Concurrency and Computation: Practice and Experience,2015,Article,"SummaryEUBrazilOpenBio is a collaborative initiative addressing strategic barriers in biodiversity research by integrating open access data and user-friendly tools widely available in Brazil and Europe. The project deploys the EU-Brazil Hybrid Data Infrastructure that allows the sharing of hardware, software and data on-demand. This infrastructure provides access to several integrated services and resources to seamlessly aggregate taxonomic, biodiversity and climate data, used by processing services implementing checklist cross-mapping and ecological niche modelling. A Virtual Research Environment was created to provide users with a single entry point to processing and data resources. This article describes the architecture, demonstration use cases and some experimental results and validation. Copyright © 2014 John Wiley & Sons, Ltd. Copyright © 2014 John Wiley & Sons, Ltd.","biodiversity, clouds, data infrastructure, ecological niche modelling, taxonomy, virtual research environments",0,0,1,1
10.1002/cpe.3524,Reflections on science gateways sustainability through the business model canvas: Case study of a neuroscience gateway,Concurrency and Computation: Practice and Experience,2015,Article,"The sustainability of science gateways has been a topic of active discussion because they have been created and supported in the context of temporary research and infrastructure projects. As successful projects come to an end, it is necessary to find (new) models to secure continuous exploitation of products generated by these projects. Taking this step requires business considerations that are not trivial to do from the role of a researcher. This paper presents our experiences in adopting a methodology from lean business development, the Business Model Canvas (BMC). This methodology enables structured reflection upon the business model and facilitates exploring alternative ones (pivoting). We have applied the BMC to one of the science gateways designed, developed, and operated by the Academic Medical Center (AMC) e-Science group: the AMC Computational Neuroscience Gateway. The current gateway BMC is explained in the paper and used as basis for a reflection to improve its sustainability. Alternative business models are given as examples of BMC iteration or pivots. This exercise helped us to structure the various aspects to be considered when designing or reflecting upon the business model of our gateway. It also facilitated the visualization of the complete business picture and helps the reflection about improvements in the business model toward sustainability. We believe that this methodology could be valuable also for the reflection about sustainability of other science gateways that are growing from academic groups that do not have business training. © 2015 John Wiley & Sons, Ltd.","Business Model Canvas (BMC), science gateways, sustainability, virtual research environments",1,0,1,2
10.1002/cpe.5028,Reconstructing 3D virtual environments within a collaborative e-infrastructure,Concurrency and Computation: Practice and Experience,2019,Article,"Sets of two-dimensional images are insufficient to capture the development in time and space of three-dimensional structures. The 2D “flattening” of photographs results in a significant loss of features especially if the photos were taken by one person. Automatically collecting and aligning photos in order to render 3D structures from 2D images without specialised equipment is currently a complex process that requires specialist knowledge with often limited results. In this paper, an Open Science oriented workflow is proposed where an on-line file system is used to share photos of an object or an environment and to produce a virtual reality scene as a navigable 3D reconstruction that can be shared with other people. Our workflow is based on a distributed e-Infrastructure and overcomes common limitations of other approaches by having all the used technology integrated on the same platform and by not requiring specialist knowledge. A performance evaluation of the 3D reconstruction process embedded in the workflow is reported against a commercial software and an open-source software in terms of computational efficiency and reconstruction accuracy, and three marine science use cases are reported to show potential applications of the workflow. © 2018 John Wiley & Sons, Ltd.","3D reconstruction, cloud computing, e-infrastructures, open science, photogrammetry, photography, virtual reality, virtual research environments",0,0,1,1
